alignment,combat,durability,eye_color,gender,hair_color,height,id,image,intelligence,name,ocuppation,power,publisher,race,speed,strength,weight
bad,null,null,Brown,Male,Black,188 cm,21,https://www.superherodb.com/pictures2/portraits/10/100/184.jpg,null,Ammo,"Gang leader , criminal , former soldier",null,Marvel Comics,Human,null,null,101 kg
good,null,null,-,Male,-,0 cm,22,https://www.superherodb.com/pictures2/portraits/10/100/1310.jpg,null,Ando Masahashi,Yamagato Industries computer programmer,null,NBC - Heroes,null,null,null,0 kg
good,75,90,-,Male,-,0 cm,23,https://www.superherodb.com/pictures2/portraits/10/100/10431.jpg,75,Angel,-,100,Dark Horse Comics,Vampire,58,30,0 kg
good,42,64,Blue,Male,Blond,183 cm,24,https://www.superherodb.com/pictures2/portraits/10/100/829.jpg,63,Angel,"Adventurer, chairman & principal stockholder of Worthington Industries, former terrorist",28,Archangel,null,46,13,68 kg
good,30,42,Yellow,Female,Black,165 cm,25,https://www.superherodb.com/pictures2/portraits/10/100/10405.jpg,38,Angel Dust,-,17,Marvel Comics,Mutant,23,55,57 kg
good,60,28,Brown,Female,Black,163 cm,26,https://www.superherodb.com/pictures2/portraits/10/100/1406.jpg,38,Angel Salvadore,-,56,Tempest,null,28,10,54 kg
bad,null,null,-,Female,-,0 cm,27,https://www.superherodb.com/pictures2/portraits/10/100/1070.jpg,null,Angela,-,null,Image Comics,null,null,97,0 kg
good,80,85,Blue,Male,Blond,183 cm,28,https://www.superherodb.com/pictures2/portraits/10/100/632.jpg,56,Animal Man,-,73,DC Comics,Human,47,48,83 kg
bad,64,56,Green,Male,No Hair,180 cm,29,https://www.superherodb.com/pictures2/portraits/10/100/1307.jpg,75,Annihilus,"Conqueror, scavenger",59,Marvel Comics,null,47,80,90 kg
good,32,28,Blue,Male,Blond,211 cm,30,https://www.superherodb.com/pictures2/portraits/10/100/857.jpg,100,Ant-Man,"Adventurer, Biochemist, former manager of Avengers Compound",32,Giant-Man,Human,23,18,122 kg
good,30,40,Blue,Male,Blond,183 cm,31,https://www.superherodb.com/pictures2/portraits/10/100/166.jpg,75,Ant-Man II,"Electronics Technician,",53,Marvel Comics,Human,17,18,86 kg
bad,90,100,Yellow,Male,No Hair,61.0 meters,32,https://www.superherodb.com/pictures2/portraits/10/100/1292.jpg,88,Anti-Monitor,-,100,DC Comics,God / Eternal,50,100,0 kg
bad,null,null,-,Male,-,0 cm,33,https://www.superherodb.com/pictures2/portraits/10/100/1071.jpg,null,Anti-Spawn,-,null,Image Comics,null,null,58,0 kg
-,84,90,Blue,Male,Blond,229 cm,34,https://www.superherodb.com/pictures2/portraits/10/100/1485.jpg,75,Anti-Venom,Vigilante; former journalist for the Daily Globe,96,Toxin,Symbiote,65,60,358 kg
bad,60,100,Red,Male,Black,213 cm,35,https://www.superherodb.com/pictures2/portraits/10/100/852.jpg,100,Apocalypse,Student; formerly Conqueror; Scientist,100,Marvel Comics,Mutant,33,100,135 kg
good,14,14,Blue,Male,Blond,0 cm,36,https://www.superherodb.com/pictures2/portraits/10/100/1389.jpg,10,Aquababy,-,37,DC Comics,null,12,16,0 kg
good,60,75,Blue,Male,Black,178 cm,37,https://www.superherodb.com/pictures2/portraits/10/100/1395.jpg,63,Aqualad,"Adventurer; Magician, former Sidekick",89,DC Comics,Atlantean,42,44,106 kg
good,80,80,Blue,Male,Blond,185 cm,38,https://www.superherodb.com/pictures2/portraits/10/100/634.jpg,81,Aquaman,"Protector of the Seas and Oceans, King of Poseidonis",100,DC Comics,Atlantean,79,85,146 kg
good,70,70,Blue,Female,Blond,175 cm,39,https://www.superherodb.com/pictures2/portraits/10/100/882.jpg,50,Arachne,"Adventurer, fugitive, former government agent",71,Marvel Comics,Human,50,48,63 kg
good,42,64,Blue,Male,Blond,183 cm,40,https://www.superherodb.com/pictures2/portraits/10/100/838.jpg,63,Archangel,"Adventurer, Chairman & principal stockholder of Worthington Industries, Multi-Millionaire, Heir, former terrorist",35,Angel,Mutant,58,13,68 kg
bad,70,42,Violet,Female,Purple,173 cm,41,https://www.superherodb.com/pictures2/portraits/10/100/832.jpg,38,Arclight,Terrorist,52,Marvel Comics,null,23,63,57 kg
good,25,80,White,Female,Orange,193 cm,42,https://www.superherodb.com/pictures2/portraits/10/100/10132.jpg,63,Ardina,-,100,Marvel Comics,Alien,100,100,98 kg
good,101,80,Brown,Male,Brown,185 cm,43,https://www.superherodb.com/pictures2/portraits/10/100/1118.jpg,75,Ares,-,84,Marvel Comics,null,35,82,270 kg
good,28,14,Purple,Female,Pink,165 cm,44,https://www.superherodb.com/pictures2/portraits/10/100/1348.jpg,50,Ariel,"Leader, refugee alien; former alien mutant-hunter and hedonist",94,Marvel Comics,null,12,10,59 kg
good,54,80,Black,Female,Black,163 cm,45,https://www.superherodb.com/pictures2/portraits/10/100/1347.jpg,50,Armor,"Adventurer, student",55,Marvel Comics,null,12,63,50 kg
good,null,null,-,Male,-,0 cm,46,https://www.superherodb.com/pictures2/portraits/10/100/1014.jpg,null,Arsenal,-,null,Speedy,Human,null,54,0 kg
good,null,null,Brown,Male,Black,0 cm,47,https://www.superherodb.com/pictures2/portraits/10/100/1159.jpg,null,Astro Boy,-,null,null,null,null,90,0 kg
good,50,100,Brown,Male,Red,183 cm,48,https://www.superherodb.com/pictures2/portraits/10/100/878.jpg,63,Atlas,"Adventurer; former professional criminal, mercenary, dock worker, soldier",98,Goliath,Mutant,25,80,101 kg
bad,80,100,Blue,Male,Brown,198 cm,49,https://www.superherodb.com/pictures2/portraits/10/100/10838.jpg,63,Atlas,-,27,DC Comics,God / Eternal,42,100,126 kg
good,null,null,Blue,Male,Red,178 cm,50,https://www.superherodb.com/pictures2/portraits/10/100/934.jpg,null,Atom,"Adventurer, Retired Professor of Nuclear Physics",null,DC Comics,null,null,null,68 kg
good,null,null,-,Male,-,0 cm,51,https://www.superherodb.com/pictures2/portraits/10/100/1379.jpg,null,Atom,-,null,DC Comics,null,null,null,0 kg
good,42,28,Black,Female,Black,168 cm,52,https://www.superherodb.com/pictures2/portraits/10/100/1180.jpg,38,Atom Girl,-,38,DC Comics,null,23,10,54 kg
good,60,45,Brown,Male,Auburn,183 cm,53,https://www.superherodb.com/pictures2/portraits/10/100/938.jpg,88,Atom II,Physics Professor,40,DC Comics,Human,33,10,81 kg
good,null,null,-,Male,Red,0 cm,54,https://www.superherodb.com/pictures2/portraits/10/100/939.jpg,null,Atom III,-,null,DC Comics,null,null,null,0 kg
good,null,null,Brown,Male,Black,0 cm,55,https://www.superherodb.com/pictures2/portraits/10/100/940.jpg,null,Atom IV,Professor of nuclear physics at Ivy University,null,DC Comics,null,null,null,72 kg
good,56,60,Blue,Female,Black,180 cm,56,https://www.superherodb.com/pictures2/portraits/10/100/1289.jpg,63,Aurora,"Adventurer; former terrorist, nun, history/geography teacher",74,Marvel Comics,Mutant,96,10,63 kg
bad,80,95,Yellow,Male,Black,183 cm,57,https://www.superherodb.com/pictures2/portraits/10/100/1481.jpg,50,Azazel,Leader of the Neyaphem,100,Marvel Comics,Neyaphem,47,11,67 kg
good,80,20,Brown,Male,Black,0 cm,58,https://www.superherodb.com/pictures2/portraits/10/100/1532.jpg,63,Azrael,"Former Police Officer, vigilante",35,DC Comics,Human,17,18,0 kg
good,null,null,-,Male,-,0 cm,59,https://www.superherodb.com/pictures2/portraits/10/100/1012.jpg,null,Aztar,-,null,Spectre,null,null,98,0 kg
bad,95,56,-,Male,-,203 cm,60,https://www.superherodb.com/pictures2/portraits/10/100/637.jpg,88,Bane,-,51,DC Comics,Human,23,38,180 kg
good,70,40,Green,Male,Strawberry Blond,183 cm,61,https://www.superherodb.com/pictures2/portraits/10/100/26.jpg,50,Banshee,"Currently founder and director of operation for X-Corps, formerly Adventurer and Headmaster at the Massachusetts Academy, in charge of Generation X, Interpol Inspector and Agent, freelance detective, professional criminal, involuntary operative for Factor",63,Marvel Comics,Human,58,10,77 kg
good,56,54,Brown,Male,Black,165 cm,62,https://www.superherodb.com/pictures2/portraits/10/100/229.jpg,25,Bantam,"Adventurer, boxing trainer, former boxer",21,Marvel Comics,null,23,53,54 kg
good,90,40,Green,Female,Red,170 cm,63,https://www.superherodb.com/pictures2/portraits/10/100/1111.jpg,88,Batgirl,-,34,Oracle,Human,33,11,57 kg
good,null,null,-,Female,-,0 cm,64,https://www.superherodb.com/pictures2/portraits/10/100/638.jpg,null,Batgirl,Crime-fighter,null,Hawkfire,null,null,27,0 kg
good,null,null,-,Female,-,0 cm,65,https://www.superherodb.com/pictures2/portraits/10/100/1112.jpg,null,Batgirl III,-,null,Huntress,null,null,43,0 kg
good,100,56,Green,Female,Black,165 cm,66,https://www.superherodb.com/pictures2/portraits/10/100/1113.jpg,69,Batgirl IV,-,46,DC Comics,Human,27,12,52 kg
good,null,null,-,Female,-,0 cm,67,https://www.superherodb.com/pictures2/portraits/10/100/1115.jpg,null,Batgirl V,-,null,Misfit,null,null,null,0 kg
good,80,28,Blue,Female,Blond,168 cm,68,https://www.superherodb.com/pictures2/portraits/10/100/1398.jpg,75,Batgirl VI,College student at Gotham University,22,Spoiler,null,23,10,61 kg
good,90,55,Blue,Male,Black,178 cm,69,https://www.superherodb.com/pictures2/portraits/10/100/10441.jpg,81,Batman,-,63,DC Comics,Human,29,40,77 kg
good,100,50,blue,Male,black,188 cm,70,https://www.superherodb.com/pictures2/portraits/10/100/639.jpg,100,Batman,Businessman,47,DC Comics,Human,27,26,95 kg
good,100,28,Blue,Male,Black,178 cm,71,https://www.superherodb.com/pictures2/portraits/10/100/1496.jpg,88,Batman II,-,36,Nightwing,Human,33,11,79 kg
good,74,74,Brown,Male,Black,198 cm,72,https://www.superherodb.com/pictures2/portraits/10/100/231.jpg,50,Battlestar,"Former wrestler, federal operative",48,Marvel Comics,null,35,53,133 kg
good,80,25,Green,Female,Red,178 cm,73,https://www.superherodb.com/pictures2/portraits/10/100/10234.jpg,81,Batwoman V,-,27,DC Comics,Human,29,8,0 kg
good,null,null,Black,Male,White,175 cm,74,https://www.superherodb.com/pictures2/portraits/10/100/232.jpg,null,Beak,-,null,Marvel Comics,null,null,null,63 kg
good,85,60,Blue,Male,Blue,180 cm,75,https://www.superherodb.com/pictures2/portraits/10/100/27.jpg,94,Beast,"Biochemist, formerly Xavier Institute for Higher Learning science and math Instructor, mutant activist, college lecturer, researcher, professional wrestler",43,Marvel Comics,Mutant,38,48,181 kg
good,40,70,Green,Male,Green,173 cm,76,https://www.superherodb.com/pictures2/portraits/10/100/640.jpg,50,Beast Boy,"Adventurer, Struggling Actor",79,DC Comics,Human,50,28,68 kg
bad,null,null,-,Male,-,0 cm,77,https://www.superherodb.com/pictures2/portraits/10/100/1122.jpg,null,Beetle,-,null,Marvel Comics,null,null,54,0 kg
good,40,10,-,Male,-,0 cm,78,https://www.superherodb.com/pictures2/portraits/10/100/1365.jpg,10,Ben 10,-,90,DC Comics,null,8,7,0 kg
good,84,95,-,Male,No Hair,201 cm,79,https://www.superherodb.com/pictures2/portraits/10/100/28.jpg,63,Beta Ray Bill,Guardian of the Korbinite race,100,Marvel Comics,null,35,80,216 kg
good,84,100,-,Male,-,0 cm,80,https://www.superherodb.com/pictures2/portraits/10/100/1293.jpg,100,Beyonder,Former student,100,Marvel Comics,God / Eternal,100,100,0 kg
bad,100,100,Blue,Female,Black,188 cm,81,https://www.superherodb.com/pictures2/portraits/10/100/1169.jpg,88,Big Barda,-,100,DC Comics,New God,79,100,135 kg
good,64,32,-,Male,-,0 cm,82,https://www.superherodb.com/pictures2/portraits/10/100/1338.jpg,38,Big Daddy,-,22,Icon Comics,null,12,10,0 kg
bad,70,28,Blue,Male,Brown,165 cm,83,https://www.superherodb.com/pictures2/portraits/10/100/1038.jpg,75,Big Man,"Reporter, professional criminal",19,Marvel Comics,null,23,12,71 kg
good,40,60,-,Male,-,0 cm,84,https://www.superherodb.com/pictures2/portraits/10/100/1527.jpg,63,Bill Harken,-,27,SyFy,Alpha,33,36,0 kg
bad,null,null,-,Male,-,0 cm,85,https://www.superherodb.com/pictures2/portraits/10/100/1072.jpg,null,Billy Kincaid,-,null,Image Comics,null,null,null,0 kg
good,null,null,Blue,Female,Blond,180 cm,86,https://www.superherodb.com/pictures2/portraits/10/100/30.jpg,null,Binary,"Former National Aeronautics and Space Administration security Chief, former magazine editor, former freelance writer, former military intelligence officer.",null,Captain Marvel,null,null,null,54 kg
good,40,40,Blue,Female,Black,0 cm,87,https://www.superherodb.com/pictures2/portraits/10/100/10648.jpg,56,Bionic Woman,-,20,,Cyborg,33,37,0 kg
good,42,28,-,-,-,0 cm,88,https://www.superherodb.com/pictures2/portraits/10/100/240.jpg,25,Bird-Brain,-,21,Marvel Comics,null,35,10,0 kg
bad,null,null,-,Male,-,0 cm,89,https://www.superherodb.com/pictures2/portraits/10/100/1503.jpg,null,Bird-Man,-,null,Marvel Comics,Human,null,null,0 kg
bad,null,null,-,Male,-,0 cm,90,https://www.superherodb.com/pictures2/portraits/10/100/1504.jpg,null,Bird-Man II,-,null,Marvel Comics,Human,null,null,0 kg
good,null,null,-,Male,-,0 cm,91,https://www.superherodb.com/pictures2/portraits/10/100/1506.jpg,null,Birdman,-,null,Hanna-Barbera,God / Eternal,null,35,0 kg
good,65,75,Brown,Male,No Hair,198 cm,92,https://www.superherodb.com/pictures2/portraits/10/100/31.jpg,63,Bishop,"(current) Adventurer, (former) Commander in the XSE (Xavier's Security Enforcers)",100,Marvel Comics,Mutant,23,14,124 kg
neutral,85,100,Black,Male,Black,191 cm,93,https://www.superherodb.com/pictures2/portraits/10/100/642.jpg,38,Bizarro,-,100,DC Comics,Bizarro,100,95,155 kg
bad,null,null,Red,Male,Black,0 cm,94,https://www.superherodb.com/pictures2/portraits/10/100/1049.jpg,null,Black Abbott,"Cult leader, former monk",null,Marvel Comics,null,null,null,0 kg
bad,56,100,Brown,Male,Black,191 cm,95,https://www.superherodb.com/pictures2/portraits/10/100/643.jpg,88,Black Adam,-,100,DC Comics,null,92,100,113 kg
good,56,84,Blue,Male,Black,188 cm,96,https://www.superherodb.com/pictures2/portraits/10/100/243.jpg,75,Black Bolt,King of the Inhumans,100,Marvel Comics,Inhuman,100,67,95 kg
good,80,20,Blue,Female,Blond,170 cm,97,https://www.superherodb.com/pictures2/portraits/10/100/1005.jpg,63,Black Canary,"Detective/Crime-fighter, Chairperson of the Justice League of America; former florist, judo instructor",52,DC Comics,Metahuman,33,8,59 kg
good,80,15,Blue,Female,Blond,165 cm,98,https://www.superherodb.com/pictures2/portraits/10/100/644.jpg,63,Black Canary,"Florist, former private investigator",45,DC Comics,Human,33,8,58 kg
good,70,10,Green,Female,Blond,178 cm,99,https://www.superherodb.com/pictures2/portraits/10/100/32.jpg,75,Black Cat,"Cat burglar; Private investigator, founder of Cat's Eye Investigations.",23,Marvel Comics,Human,33,16,54 kg
neutral,30,80,-,Male,-,0 cm,100,https://www.superherodb.com/pictures2/portraits/10/100/10831.jpg,44,Black Flash,-,100,DC Comics,God / Eternal,100,10,0 kg
good,null,null,-,Male,-,0 cm,101,https://www.superherodb.com/pictures2/portraits/10/100/245.jpg,null,Black Goliath,-,null,Marvel Comics,null,null,null,0 kg
good,70,70,Brown,Male,Brown,183 cm,102,https://www.superherodb.com/pictures2/portraits/10/100/246.jpg,63,Black Knight III,"Adventurer, scientist; former crusader",43,Marvel Comics,Human,8,10,86 kg
good,75,28,Brown,Male,No Hair,185 cm,103,https://www.superherodb.com/pictures2/portraits/10/100/1128.jpg,50,Black Lightning,"Crime Fighter, High School teacher, Former gold-medal-winning Olympic Decathlete, formerly Secretary of Education under Presidents Pete Ross and Lex Luthor.",70,DC Comics,null,53,11,90 kg
bad,65,42,Green,Female,Black,170 cm,104,https://www.superherodb.com/pictures2/portraits/10/100/1106.jpg,75,Black Mamba,"Mercenary, professional criminal, former call girl",88,Marvel Comics,null,35,10,52 kg
bad,85,60,Black,Male,No Hair,188 cm,105,https://www.superherodb.com/pictures2/portraits/10/100/10546.jpg,75,Black Manta,-,76,DC Comics,Human,50,28,92 kg
good,100,60,Brown,Male,Black,183 cm,106,https://www.superherodb.com/pictures2/portraits/10/100/247.jpg,88,Black Panther,"King and Chieftain of Wakanda, scientist; former school teacher",41,Marvel Comics,Human,30,16,90 kg
good,100,30,Green,Female,Auburn,170 cm,107,https://www.superherodb.com/pictures2/portraits/10/100/248.jpg,75,Black Widow,"Adventurer, Intelligence agent, former ballerina",36,Marvel Comics,Human,33,13,59 kg
good,null,null,Blue,Female,Blond,170 cm,108,https://www.superherodb.com/pictures2/portraits/10/100/618.jpg,null,Black Widow II,-,null,Marvel Comics,null,null,48,61 kg
bad,65,80,Red,Male,White,191 cm,109,https://www.superherodb.com/pictures2/portraits/10/100/1507.jpg,63,Blackout,"Assassin, enforcer",45,Marvel Comics,Demon,45,32,104 kg
bad,56,32,Blue,Male,Black,185 cm,110,https://www.superherodb.com/pictures2/portraits/10/100/249.jpg,38,Blackwing,-,20,Marvel Comics,null,35,10,86 kg
-,25,30,Red,Male,White,188 cm,111,https://www.superherodb.com/pictures2/portraits/10/100/1508.jpg,50,Blackwulf,Freedom Fighter,69,Marvel Comics,Alien,8,28,88 kg
good,90,50,Brown,Male,Black,188 cm,112,https://www.superherodb.com/pictures2/portraits/10/100/33.jpg,63,Blade,"Vampire hunter, former private investigator.",40,Marvel Comics,Vampire,38,28,97 kg
good,null,null,Black,-,No Hair,0 cm,113,https://www.superherodb.com/pictures2/portraits/10/100/34.jpg,null,Blaquesmith,Inventor,null,Vertigo II,null,null,null,0 kg
good,28,90,-,Female,-,168 cm,114,https://www.superherodb.com/pictures2/portraits/10/100/1349.jpg,69,Bling!,-,52,Marvel Comics,null,12,14,68 kg
good,64,28,Green,Female,Magenta,165 cm,115,https://www.superherodb.com/pictures2/portraits/10/100/35.jpg,50,Blink,"Adventurer, freedom fighter",77,Marvel Comics,Mutant,20,8,56 kg
bad,null,null,-,Male,Brown,0 cm,116,https://www.superherodb.com/pictures2/portraits/10/100/899.jpg,null,Blizzard,"Professional criminal, mercenary, engineer, former scientist",null,Marvel Comics,null,null,null,0 kg
bad,null,null,-,Male,-,0 cm,117,https://www.superherodb.com/pictures2/portraits/10/100/898.jpg,null,Blizzard,-,null,Marvel Comics,null,null,72,0 kg
bad,56,42,Brown,Male,Brown,175 cm,118,https://www.superherodb.com/pictures2/portraits/10/100/619.jpg,38,Blizzard II,Adventurer; former mercenary and professional criminal,47,Marvel Comics,null,27,10,77 kg
bad,72,95,Brown,Male,Brown,178 cm,119,https://www.superherodb.com/pictures2/portraits/10/100/1119.jpg,10,Blob,"Former criminal, terrorist, government agent, carnival performer",28,Marvel Comics,null,23,83,230 kg
bad,84,80,Blue,Female,Brown,218 cm,120,https://www.superherodb.com/pictures2/portraits/10/100/1509.jpg,63,Bloodaxe,"Architect, former vigilante",100,Marvel Comics,Human,33,80,495 kg
good,64,80,Black,Male,No Hair,0 cm,121,https://www.superherodb.com/pictures2/portraits/10/100/1510.jpg,50,Bloodhawk,-,80,Marvel Comics,Mutant,50,10,0 kg
bad,null,null,White,Male,No Hair,30.5 meters,122,https://www.superherodb.com/pictures2/portraits/10/100/186.jpg,null,Bloodwraith,Former squire,null,Marvel Comics,null,null,72,0 kg
good,null,null,Blue,Male,Brown,0 cm,123,https://www.superherodb.com/pictures2/portraits/10/100/646.jpg,null,Blue Beetle,Archaeologist; professor of archaeology,null,DC Comics,null,null,null,0 kg
good,null,null,-,Male,-,0 cm,124,https://www.superherodb.com/pictures2/portraits/10/100/1010.jpg,null,Blue Beetle,-,null,DC Comics,null,null,null,0 kg
good,null,null,Blue,Male,Brown,183 cm,125,https://www.superherodb.com/pictures2/portraits/10/100/1008.jpg,null,Blue Beetle II,"Inventor, President of Kord Omniversal, Crimefighter",null,DC Comics,null,null,45,86 kg
good,30,80,Brown,Male,Black,0 cm,126,https://www.superherodb.com/pictures2/portraits/10/100/1009.jpg,50,Blue Beetle III,Student,100,DC Comics,Human,58,34,0 kg
bad,70,36,Brown,Male,Black,183 cm,127,https://www.superherodb.com/pictures2/portraits/10/100/10467.jpg,63,Boba Fett,Bounty Hunter,68,George Lucas,Human / Clone,38,10,0 kg
good,null,null,-,Male,-,0 cm,128,https://www.superherodb.com/pictures2/portraits/10/100/1340.jpg,null,Bolt,-,null,Marvel Comics,null,null,null,0 kg
bad,null,null,-,Female,-,0 cm,129,https://www.superherodb.com/pictures2/portraits/10/100/1116.jpg,null,Bomb Queen,-,null,Image Comics,null,null,73,0 kg
good,64,42,Blue,Female,Blond,165 cm,130,https://www.superherodb.com/pictures2/portraits/10/100/400.jpg,38,Boom-Boom,"Adventurer, former student, thief",57,Meltdown,Mutant,12,10,55 kg
good,null,null,-,Female,-,0 cm,131,https://www.superherodb.com/pictures2/portraits/10/100/259.jpg,null,Boomer,-,null,Marvel Comics,null,null,null,0 kg
good,40,70,Blue,Male,Blond,196 cm,132,https://www.superherodb.com/pictures2/portraits/10/100/647.jpg,69,Booster Gold,"Superhero, Founder, C.E.O & Chairman of Booster Gold International",100,DC Comics,Human,42,85,97 kg
good,null,null,-,Male,-,0 cm,133,https://www.superherodb.com/pictures2/portraits/10/100/864.jpg,null,Box,-,null,Marvel Comics,null,null,null,0 kg
good,null,null,Blue,-,Blond,193 cm,134,https://www.superherodb.com/pictures2/portraits/10/100/37.jpg,null,Box III,"Physics professor, former NFL player",null,Marvel Comics,null,null,null,110 kg
good,56,28,Brown,-,Brown / Black,0 cm,135,https://www.superherodb.com/pictures2/portraits/10/100/38.jpg,50,Box IV,"Inventor, former soldier",11,Gemini V,null,23,75,0 kg
bad,75,90,Green,Male,No Hair,198 cm,136,https://www.superherodb.com/pictures2/portraits/10/100/648.jpg,100,Brainiac,-,60,DC Comics,Android,63,95,135 kg
good,32,28,Green,Male,Blond,170 cm,137,https://www.superherodb.com/pictures2/portraits/10/100/1183.jpg,100,Brainiac 5,-,60,DC Comics,null,23,10,61 kg
good,null,null,Brown,Male,Brown / White,183 cm,138,https://www.superherodb.com/pictures2/portraits/10/100/39.jpg,null,Brother Voodoo,Psychologist Houngan (voodoo priest),null,Marvel Comics,Human,null,65,99 kg
-,15,40,-,Male,-,193 cm,139,https://www.superherodb.com/pictures2/portraits/10/100/10642.jpg,69,Brundlefly,Scientist,27,,Mutant,25,32,0 kg
good,60,70,Green,Female,Blond,157 cm,140,https://www.superherodb.com/pictures2/portraits/10/100/10430.jpg,63,Buffy,Slayer ; (formerly) Waitress ; DoubleMeat Palace employee ; Sunnydale High Counselor,48,Dark Horse Comics,Human,42,28,52 kg
bad,70,70,blue,Male,blond,183 cm,141,https://www.superherodb.com/pictures2/portraits/10/100/624.jpg,50,Bullseye,"Assassin, professional criminal, former mercenary",20,Marvel Comics,Human,25,11,90 kg
good,35,10,Brown,Female,Black,170 cm,142,https://www.superherodb.com/pictures2/portraits/10/100/1542.jpg,63,Bumblebee,-,47,DC Comics,Human,25,28,59 kg
good,null,null,-,Male,-,0 cm,143,https://www.superherodb.com/pictures2/portraits/10/100/1346.jpg,null,Bumbleboy,-,null,Marvel Comics,null,null,null,0 kg
good,70,10,-,Male,-,0 cm,144,https://www.superherodb.com/pictures2/portraits/10/100/1541.jpg,38,Bushido,-,19,DC Comics,Human,8,10,0 kg
good,80,56,Blue,Male,White,203 cm,145,https://www.superherodb.com/pictures2/portraits/10/100/40.jpg,88,Cable,"(current) Adventurer, (former) freedom fighter, United States government agent, mercenary, combat instructor for X-Force",100,Marvel Comics,Mutant,23,48,158 kg
bad,85,42,Blue,Female,Black,175 cm,146,https://www.superherodb.com/pictures2/portraits/10/100/271.jpg,63,Callisto,-,52,Marvel Comics,null,23,53,74 kg
